"","RequestType","total.income","race","count"
"367","Electronic Waste",53733,"White",72
"368","Electronic Waste",60115,"White",1
"369","Electronic Waste",61464,"White",186
"370","Electronic Waste",61485,"White",225
"371","Electronic Waste",63516,"White",79
"372","Electronic Waste",64156,"White",21
"373","Electronic Waste",66707,"White",7
"374","Electronic Waste",69602,"White",186
"375","Electronic Waste",75404,"White",89
"376","Feedback",12156,"Hispanic",6
"377","Feedback",12679,"Hispanic",10
"378","Feedback",14416,"AfricanAmerican",3
"379","Feedback",15022,"Hispanic",13
"380","Feedback",15239,"Hispanic",8
"381","Feedback",15325,"Asian",13
"382","Feedback",15333,"Hispanic",10
"383","Feedback",15440,"Hispanic",13
"384","Feedback",15495,"Hispanic",2
"385","Feedback",15507,"Hispanic",7
"386","Feedback",15632,"Hispanic",1
"387","Feedback",15653,"Hispanic",7
"388","Feedback",15871,"Hispanic",11
"389","Feedback",15932,"Hispanic",3
"390","Feedback",15997,"Hispanic",5
"391","Feedback",16128,"Hispanic",3
"392","Feedback",16295,"Hispanic",1
"393","Feedback",16537,"Hispanic",5
"394","Feedback",16659,"Hispanic",2
"395","Feedback",16956,"White",5
"396","Feedback",16970,"Hispanic",1
"397","Feedback",17163,"Hispanic",11
"398","Feedback",17239,"Hispanic",14
"399","Feedback",17269,"White",3
"400","Feedback",17312,"Hispanic",2
"401","Feedback",18407,"Hispanic",9
"402","Feedback",18537,"Hispanic",8
"403","Feedback",18783,"Hispanic",12
"404","Feedback",18932,"Hispanic",12
"405","Feedback",19067,"Hispanic",10
"406","Feedback",19103,"Hispanic",10
"407","Feedback",19309,"Hispanic",22
"408","Feedback",20122,"Hispanic",16
"409","Feedback",20135,"Hispanic",13
"410","Feedback",20210,"Hispanic",6
"411","Feedback",20401,"Hispanic",10
"412","Feedback",20468,"Hispanic",2
"413","Feedback",20820,"Hispanic",51
"414","Feedback",21075,"AfricanAmerican",3
"415","Feedback",21211,"AfricanAmerican",5
"416","Feedback",21227,"Asian",20
"417","Feedback",21259,"White",5
"418","Feedback",21532,"Hispanic",18
"419","Feedback",22045,"Hispanic",8
"420","Feedback",22228,"AfricanAmerican",8
"421","Feedback",22309,"Hispanic",8
"422","Feedback",22418,"Hispanic",22
"423","Feedback",22518,"Hispanic",9
"424","Feedback",22638,"Hispanic",15
"425","Feedback",22834,"Hispanic",16
"426","Feedback",22865,"Hispanic",28
