geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
86000US90007,90007,43779,1457,20964,1041,7554,684,4376,569,21,26,8082,761,143,148,218,140,570,166,10,16,560,167,22815,916,5048,612,60,35,156,104,106,84,0,26,16899,1066,546,232,438,223,108,55
86000US90008,90008,33012,1395,25690,1358,670,209,22624,1363,62,72,1065,342,94,103,225,128,950,316,31,35,919,312,7322,987,3340,796,254,120,35,36,0,26,0,26,3452,759,241,156,113,76,128,131
86000US90010,90010,3792,505,3462,484,590,165,69,61,10,15,2793,457,0,12,0,12,0,12,0,12,0,12,330,140,157,119,0,12,0,12,0,12,0,12,154,77,19,22,6,9,13,20
86000US90011,90011,102926,2667,9854,883,476,178,7909,768,81,56,602,188,159,203,272,162,355,163,41,40,314,150,93072,2899,29694,2350,341,164,474,206,61,59,0,29,61618,2901,884,285,693,245,191,119
86000US90012,90012,30029,1344,22225,1110,4933,686,3490,442,60,66,13012,788,204,161,50,31,476,166,148,134,328,120,7804,847,3629,429,44,32,84,64,42,36,0,23,3726,756,279,100,136,70,143,78
86000US90013,90013,10575,1226,8653,1032,2762,458,3446,950,23,29,1775,258,0,19,165,119,482,207,17,26,465,202,1922,394,623,195,7,14,87,80,8,12,0,19,999,382,198,100,126,78,72,53
86000US90014,90014,6659,662,5463,636,2807,520,1300,429,53,51,1081,175,33,53,46,57,143,84,52,64,91,58,1196,276,491,186,0,17,13,21,41,66,0,17,488,184,163,143,103,121,60,63
86000US90015,90015,18226,1057,6128,553,2107,311,1078,314,8,13,2801,469,11,17,0,19,123,73,0,19,123,73,12098,999,3670,672,86,60,209,177,23,28,15,23,7915,918,180,94,120,71,60,59
86000US90016,90016,47786,1585,22650,1008,2321,339,17554,983,109,120,1486,267,11,17,270,135,899,293,181,165,718,240,25136,1591,11297,1430,462,246,355,219,45,50,0,26,12226,1387,751,246,537,242,214,110
86000US90017,90017,23719,1116,7674,597,2950,376,1079,219,62,42,3401,417,144,204,0,23,38,29,0,23,38,29,16045,1144,4301,616,125,65,249,205,23,23,5,7,10795,1151,547,319,534,320,13,14
86000US90018,90018,48852,1601,20389,1319,2134,428,15166,1205,23,18,1652,373,0,26,686,280,728,249,80,52,648,250,28463,1593,7787,1153,535,274,734,456,0,26,0,26,18565,1439,842,366,759,357,83,57
86000US90019,90019,67606,1982,35898,1725,9653,755,14252,1174,60,51,10059,959,78,79,269,156,1527,406,79,47,1448,401,31708,1633,15500,1317,158,80,545,354,96,63,0,29,14710,1484,699,213,481,164,218,138
86000US90020,90020,39102,1364,24996,1105,4429,465,1898,407,98,98,17774,979,132,185,54,58,611,236,102,129,509,189,14106,969,5334,940,150,107,20,40,29,30,6,10,8354,995,213,119,158,101,55,44
86000US90021,90021,2913,642,1448,405,527,177,662,273,30,49,136,88,0,12,0,12,93,99,56,93,37,29,1465,420,585,247,73,109,0,12,0,12,0,12,766,293,41,53,10,16,31,50
86000US90022,90022,69516,2221,1718,299,829,182,231,133,51,54,542,190,0,29,25,31,40,31,6,9,34,34,67798,2233,47030,2361,104,55,266,162,92,84,13,18,19230,1716,1063,327,777,269,286,142
86000US90023,90023,45886,1588,1816,389,1082,343,262,150,22,22,422,135,0,26,0,26,28,29,0,26,28,29,44070,1637,22597,1637,265,250,275,190,31,49,0,26,19970,1543,932,343,540,278,392,232
86000US90024,90024,50117,2983,45563,2583,28117,1350,1379,396,79,90,13815,1860,44,42,217,195,1912,315,162,121,1750,325,4554,809,2302,540,39,32,30,27,61,43,0,29,1674,449,448,237,120,62,328,226
86000US90025,90025,45284,1430,36873,1089,24372,1039,831,271,0,26,9684,897,166,239,47,43,1773,358,107,91,1666,349,8411,1178,3878,798,42,33,570,556,22,41,0,26,3640,1241,259,125,62,50,197,117
86000US90026,90026,67986,1728,30216,1150,15815,951,1875,401,178,126,11059,800,63,48,225,177,1001,255,66,65,935,239,37770,1788,28649,1831,202,137,141,87,165,114,0,29,7809,1106,804,308,549,286,255,131
86000US90027,90027,46025,1457,36236,1390,27064,1229,1211,231,21,22,6332,702,34,42,217,132,1357,391,103,72,1254,384,9789,751,3531,485,61,69,164,159,85,66,0,26,5366,759,582,187,443,175,139,61
86000US90028,90028,29994,1214,20032,961,15038,950,1853,433,197,144,2205,425,11,19,53,47,675,171,22,37,653,177,9962,993,2928,637,112,97,87,80,78,72,59,68,6307,924,391,179,302,153,89,71
86000US90029,90029,40161,1245,16928,991,8809,824,1070,274,7,17,6281,666,0,26,119,89,642,213,50,43,592,203,23233,1319,8724,888,150,156,122,95,25,31,0,26,13528,1475,684,252,467,242,217,112
86000US90031,90031,39333,1267,12907,704,1871,271,306,130,96,99,10152,671,106,120,98,94,278,186,0,26,278,186,26426,1360,12880,1213,237,143,146,111,70,71,0,26,12361,1384,732,279,517,233,215,138
86000US90032,90032,47309,1520,8628,733,3220,468,711,297,56,47,4344,546,44,59,50,69,203,91,25,25,178,91,38681,1455,21558,1425,107,93,316,254,94,67,0,26,15793,1328,813,244,497,213,316,117
86000US90033,90033,48567,1626,4321,485,1053,227,625,237,44,45,2486,397,76,58,0,26,37,37,1,3,36,37,44246,1689,25923,1677,97,71,243,171,99,67,39,34,17111,1523,734,219,546,203,188,86
86000US90034,90034,58968,1578,41264,1349,22608,1141,4822,704,75,54,10966,817,156,128,262,181,2375,506,695,355,1680,323,17704,1406,13366,1329,230,157,66,52,74,54,66,57,2988,593,914,337,433,161,481,310
86000US90035,90035,31399,1154,28108,1136,21263,1154,2735,504,106,97,2511,494,7,13,189,196,1297,376,18,19,1279,377,3291,473,1305,328,17,27,76,117,0,26,5,9,1692,426,196,99,137,91,59,45
86000US90036,90036,36425,1054,32974,1119,22390,1074,1250,335,65,69,7636,788,101,121,149,177,1383,344,54,47,1329,337,3451,629,1493,467,70,54,11,14,8,14,0,26,1673,389,196,114,158,105,38,35
